ra,dec
150.329073,2.139497
150.054801,2.426702
150.218429,2.36785
150.293615,2.402216
150.300439,2.165881
149.7983,2.215854
149.825905,2.27702
150.110179,2.272575
150.028484,2.13021
150.186217,2.556423
150.425094,2.009347
150.023391,2.164706
149.907369,2.297506
149.790393,2.319234
150.364646,2.393543
150.294221,2.506514
150.375938,2.243623
149.949329,2.476142
149.960066,2.248637
150.494894,2.203851
150.214338,2.522802
150.335559,2.486015
150.301755,2.487292
150.234405,2.034278
150.325241,2.28518
150.510751,2.283148
149.783271,2.088043
150.278332,2.009032
149.838659,2.235745
150.299291,2.090108
150.129153,2.16435
150.419712,2.192816
150.101739,2.221971
150.154826,1.91621
149.894225,2.126668
149.802468,2.034699
150.23656,2.078805
149.749634,2.310984
149.849371,2.433017
150.438792,2.306412
150.290534,2.041432
150.349771,2.524731
150.108577,2.53171
150.092494,2.353066
150.143014,2.219132
149.791015,2.333071
150.062815,2.100594
150.030713,2.305751
149.899692,2.487445
149.913459,2.404575
